upm,nvivi,nhoga,year,fex,facpob,area,dptorep,ipcm,linea_pobreza_total,linea_pobreza_extrema,vivi_vivienda,vivi_piezas,vivi_dormitorios,vivi_pared,vivi_piso,vivi_techo,vivi_agua_proveedor,vivi_agua_fuente,vivi_agua_proveedor_beber,vivi_agua_fuente_beber,vivi_luz_electrica,vivi_linea_fija,vivi_celular,vivi_banho,vivi_banho_desague,vivi_pieza_cocinar,vivi_combustible,vivi_basura,vivi_vivienda_propiedad,vivi_lote_propiedad,vivi_computadora,vivi_tableta,vivi_internet,vivi_radio,vivi_televisor,vivi_heladera,vivi_cocina_gas,vivi_cocina_elec,vivi_lavarropas,vivi_videoDVD,vivi_termocalefon,vivi_acondicionador_aire,vivi_antena_parabolica,vivi_tv_cable,vivi_horno_microondas,vivi_horno_electrico,vivi_auto_camion,vivi_motocicleta,hh_conyuge_present,hh_tipo_hogar,hh_personal_domestico,hh_miembros_5ymenos,hh_miembros_6a14,hh_miembros_15a64,hh_miembros_65ymas,hh_dependents,hh_youth_dependents,hh_old_dependents,hh_females,hh_males,hh_tekopora,hh_totpers,jefe_female,jefe_edad,jefe_idioma,jefe_aniosestudio,jefe_estado_civil,jefe_seguro_medico,jefe_sabe_leer_escribir,jefe_tipo_empleo,jefe_tiene_trabajo,jefe_quiere_trabajo,jefe_caja_jubilacion1
2643,30,1,2018,781,3124,6,20,568736.1382909348,488172,239969,1,4,2,4,5,1,2,2,2,2,1,6,1,1,2,1,4,3,1,1,1,6,6,1,1,1,6,1,1,6,6,1,6,1,6,1,6,1,1,2,0,2,0,2,0,2,2,0,2,2,1,4,0,31,2,12,2,7,1,4,1,0,6
2643,32,1,2018,603,1206,6,20,2068070.4500978547,488172,239969,1,2,1,4,5,4,2,2,2,2,1,6,1,1,3,1,2,6,1,1,6,6,6,1,1,1,1,6,1,6,1,6,6,1,6,6,1,1,1,2,0,0,0,2,0,0,0,0,1,1,0,2,0,27,2,12,2,7,1,2,1,0,6
2643,35,1,2018,804,4824,6,20,427495.10763209546,488172,239969,1,2,2,4,5,4,2,2,2,2,1,6,1,1,3,1,2,6,1,1,6,6,6,1,1,1,1,6,1,6,6,1,6,1,6,6,6,1,1,2,0,2,2,2,0,4,4,0,3,3,1,6,0,37,3,12,2,7,1,2,1,0,6
2643,36,1,2018,929,3716,6,20,272491.4187866937,488172,239969,1,1,1,4,1,4,2,1,2,1,1,6,1,1,7,6,4,6,1,1,6,6,6,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,0,3,0,2,1,1,0,3,3,0,2,2,1,4,1,23,2,9,5,7,1,4,1,0,6
2643,37,1,2018,603,1206,6,20,872592.9549902184,488172,239969,1,2,1,4,5,4,2,2,2,2,1,6,1,1,3,1,2,5,1,1,6,6,6,1,1,1,1,6,1,6,6,6,6,1,6,1,6,1,1,2,0,0,0,2,0,0,0,0,1,1,1,2,1,26,1,12,2,7,1,99,0,1,0
2643,38,1,2018,646,2584,6,20,322030.55772994243,488172,239969,1,1,1,3,1,4,2,1,2,1,1,6,1,1,2,1,1,1,1,1,6,6,6,1,6,6,6,6,1,6,6,6,6,6,6,6,6,1,1,2,0,0,2,2,0,2,2,0,2,2,0,4,0,51,1,4,2,7,1,3,1,0,6
2643,40,1,2018,591,1182,6,20,1158564.0508806305,488172,239969,1,1,1,4,5,4,2,2,2,2,1,6,1,1,2,1,2,2,1,1,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,0,4,0,0,1,1,0,1,1,0,2,0,0,2,1,30,1,10,5,7,1,6,1,0,6
2732,1,1,2018,409,2045,6,20,451755.87410306744,488172,239969,1,4,3,4,4,1,3,2,3,2,1,6,1,1,6,1,1,1,1,1,6,6,6,1,1,1,1,6,1,6,6,6,6,6,6,6,1,1,1,2,0,0,0,4,1,1,0,1,1,4,0,5,0,65,1,3,2,7,1,99,0,0,0
2732,2,1,2018,593,3558,6,20,342207.59839095577,488172,239969,1,2,2,3,4,3,3,1,3,1,1,6,1,1,7,1,1,4,6,NA,6,6,6,1,1,1,6,6,1,6,6,6,6,6,6,6,6,1,1,4,0,2,1,3,0,3,3,0,3,3,1,6,0,35,1,6,2,7,1,4,1,0,6
2732,3,1,2018,453,1359,6,20,543292.0765383799,488172,239969,1,3,3,3,4,3,3,2,3,2,1,6,1,1,3,1,1,1,1,1,6,6,6,1,1,1,6,6,1,6,6,6,6,1,6,6,6,1,1,2,0,0,0,3,0,0,0,0,1,2,0,3,0,61,1,5,2,7,1,4,1,0,6
2732,4,1,2018,404,808,6,20,452641.8786692776,488172,239969,1,4,4,3,4,4,3,2,3,1,1,6,1,1,7,1,1,1,1,1,6,6,6,1,1,1,1,6,1,6,6,6,6,1,6,6,6,1,0,3,0,0,0,1,1,1,0,1,0,2,0,2,0,76,1,1,4,1,6,99,0,0,0
2732,5,1,2018,481,3367,6,20,678765.2362314813,488172,239969,1,4,4,4,4,1,3,2,3,2,1,6,1,1,3,1,1,1,1,1,6,6,6,1,1,1,1,6,1,6,6,6,6,1,6,6,6,1,1,4,0,1,2,4,0,3,3,0,5,2,0,7,0,61,1,4,1,7,1,4,1,0,6
2732,6,1,2018,655,1965,6,20,410185.7469015019,488172,239969,1,2,1,4,5,1,3,2,3,2,1,6,6,1,3,1,1,1,1,1,6,6,6,1,1,1,6,6,6,6,6,1,6,1,6,6,6,6,0,4,0,2,0,1,0,2,2,0,1,2,0,3,1,63,2,6,1,1,1,99,0,0,0
2732,26,1,2018,450,1800,6,20,460337.798434444,488172,239969,1,4,3,3,4,4,3,2,3,2,1,6,1,1,7,1,1,1,1,1,6,6,6,1,6,1,1,6,1,6,6,6,6,6,6,6,6,1,1,4,0,0,2,2,0,2,2,0,3,1,0,4,0,61,1,0,1,7,6,4,1,0,6
2732,27,1,2018,370,740,6,20,573530.7893020242,488172,239969,1,3,3,3,4,4,3,2,3,1,1,6,1,1,2,1,1,7,1,1,6,6,6,1,1,1,6,6,1,6,6,6,6,6,6,6,6,1,1,2,0,0,0,2,0,0,0,0,1,1,0,2,0,62,1,3,1,7,1,4,1,0,6
2732,28,1,2018,370,740,6,20,581309.5238095259,488172,239969,1,4,4,4,4,1,3,1,3,1,1,6,1,1,7,1,1,1,1,1,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,1,2,0,0,0,2,0,0,0,0,1,1,0,2,0,64,1,4,1,7,1,4,1,0,6
2732,29,1,2018,432,1728,6,20,867918.7989236822,488172,239969,1,5,5,3,4,4,3,2,3,2,1,6,1,1,6,1,1,1,1,1,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,1,4,0,0,1,1,2,3,1,2,2,2,1,4,0,69,1,2,1,7,6,4,1,0,6
2732,31,1,2018,510,2040,6,20,2201369.2922374513,488172,239969,1,3,2,3,4,4,3,2,3,2,1,6,1,1,7,1,1,1,1,1,6,6,6,1,1,1,1,1,1,6,6,6,6,6,6,6,1,1,1,2,0,0,0,4,0,0,0,0,1,3,1,4,0,50,1,8,1,7,1,4,1,0,6
2754,3,1,2018,853,2559,6,20,350290.7777777778,488172,239969,1,2,1,3,1,4,3,1,3,1,1,6,1,1,7,1,1,1,1,1,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,0,3,0,1,1,1,0,2,2,0,1,2,0,3,1,24,1,12,5,7,1,4,1,0,6
2754,33,1,2018,518,2590,6,20,168221.13333333333,488172,239969,1,2,2,3,4,4,3,1,3,1,1,6,1,1,7,6,1,1,1,1,6,6,6,6,1,1,6,1,6,6,6,6,6,6,6,6,6,1,1,2,0,0,1,4,0,1,1,0,3,2,1,5,1,56,1,0,1,7,6,99,0,0,0
2754,34,1,2018,622,1244,6,20,696969.5,488172,239969,1,3,1,3,4,4,3,2,3,2,1,6,1,1,2,1,1,4,1,1,6,6,6,1,1,1,6,6,1,6,6,6,6,1,6,6,6,1,0,3,0,0,1,1,0,1,1,0,2,0,1,2,1,29,1,11,2,7,1,4,1,0,6
2754,35,1,2018,678,2034,6,20,298092.6666666667,488172,239969,1,2,1,3,1,3,3,5,3,5,1,6,6,1,7,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,3,0,0,2,1,0,2,2,0,1,2,1,3,1,39,1,6,5,7,1,4,1,0,6
2754,36,1,2018,485,1940,6,20,278917.7083333334,488172,239969,1,3,2,4,5,4,3,1,3,1,1,6,1,1,7,1,1,1,1,1,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,0,0,1,3,0,1,1,0,3,1,1,4,0,45,1,5,2,7,1,4,1,0,6
2754,37,1,2018,371,742,6,20,705458.3333333333,488172,239969,1,3,2,4,5,3,3,2,3,2,1,6,1,1,7,1,1,1,1,1,6,6,6,6,1,1,6,6,6,6,6,6,6,1,6,6,6,6,0,4,0,0,0,1,1,1,0,1,2,0,1,2,1,71,1,0,4,7,6,4,1,0,6
2754,38,1,2018,469,1407,6,20,389069.4444444445,488172,239969,1,3,2,3,4,3,3,2,3,2,1,6,1,1,7,1,1,1,1,1,6,6,6,1,1,6,6,6,1,6,6,6,6,6,6,6,6,6,1,4,0,0,0,2,1,1,0,1,1,2,1,3,0,60,1,3,2,7,1,4,1,0,6
2754,45,1,2018,540,2160,6,20,748593.75,488172,239969,1,3,2,3,4,4,3,1,3,1,1,6,1,1,7,1,3,1,1,1,6,6,6,1,1,6,6,6,1,6,6,6,6,1,6,6,6,1,1,2,0,0,1,3,0,1,1,0,1,3,1,4,1,48,2,5,1,7,1,99,0,0,0
2754,46,1,2018,505,2525,6,20,619817.8,488172,239969,1,1,1,3,1,3,3,1,3,1,1,6,1,1,7,1,1,1,1,1,6,6,6,1,1,1,6,1,1,6,6,6,6,1,6,6,6,6,1,4,0,0,2,1,2,4,2,2,1,4,1,5,0,73,1,5,1,7,1,99,0,0,0
2754,47,1,2018,640,3840,6,20,239535.22222222225,488172,239969,1,3,2,3,4,3,3,1,3,1,1,6,1,1,7,1,1,1,1,1,6,6,6,1,1,1,6,6,6,6,6,6,6,1,6,6,6,1,1,2,0,0,2,4,0,2,2,0,2,4,1,6,0,40,1,5,2,7,1,4,1,0,6
2883,20,1,2018,634,2536,6,20,201720.16908212577,488172,239969,1,2,2,4,5,1,2,2,2,2,1,6,1,1,3,1,1,1,6,NA,6,6,6,1,1,1,6,6,1,6,6,6,6,6,6,6,6,1,1,2,0,0,2,2,0,2,2,0,2,2,0,4,0,42,1,6,1,7,1,4,1,0,6
2883,21,1,2018,398,796,6,20,968405.79710145,488172,239969,1,2,2,3,4,4,2,2,2,2,1,6,1,1,3,1,1,1,1,1,6,6,6,1,1,1,6,6,6,6,6,6,6,1,6,6,6,6,1,2,0,0,0,1,1,1,0,1,1,1,0,2,0,66,1,6,1,7,1,3,1,0,6
2883,22,1,2018,581,2324,6,20,342045.89371980703,488172,239969,1,3,2,4,5,4,2,2,2,2,1,6,1,1,2,1,1,1,1,1,6,6,6,1,1,1,6,6,1,6,6,6,6,1,6,6,1,1,1,2,0,0,1,3,0,1,1,0,2,2,0,4,0,42,1,4,1,7,1,5,1,0,6
2883,24,1,2018,376,376,6,20,544800.5348316366,488172,239969,1,1,1,3,1,4,2,1,2,1,1,6,6,1,7,6,1,1,1,6,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,58,1,3,4,7,6,4,1,0,6
2883,25,1,2018,609,3654,6,20,685738.9049919489,488172,239969,1,3,3,4,5,4,2,2,2,2,1,6,1,1,2,1,1,1,1,1,6,6,6,1,1,1,6,6,6,6,6,1,6,1,6,6,6,1,1,2,0,0,0,6,0,0,0,0,3,3,0,6,0,58,1,8,1,7,1,4,1,0,6
2883,37,1,2018,645,3870,6,20,335974.6553945252,488172,239969,1,1,1,3,4,4,2,1,2,1,1,6,1,1,7,1,1,1,1,1,6,6,6,1,1,1,6,6,1,6,6,6,6,6,6,1,6,1,1,2,0,0,2,4,0,2,2,0,3,3,1,6,0,50,1,5,1,7,1,4,1,0,6
2883,38,1,2018,827,2481,6,20,889291.733762749,488172,239969,1,2,1,4,5,4,2,2,2,2,1,6,1,1,5,1,2,1,1,1,6,6,6,1,1,1,1,6,1,6,6,6,6,1,6,6,6,1,1,2,0,1,0,2,0,1,1,0,1,2,1,3,0,29,1,9,1,7,1,2,1,0,6
2883,39,1,2018,648,1944,6,20,932742.9232420832,488172,239969,1,2,1,3,4,4,2,1,2,1,1,6,1,1,7,1,1,1,1,1,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1,1,2,0,1,0,2,0,1,1,0,2,1,1,3,0,30,1,4,2,7,1,2,1,0,6
2883,40,1,2018,420,420,6,20,993236.7149758462,488172,239969,1,2,1,3,1,4,2,7,2,8,1,6,1,1,3,1,1,1,1,1,6,6,6,1,6,1,1,1,6,6,6,6,6,6,6,6,6,6,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,82,1,2,1,7,6,4,1,0,6
2930,7,1,2018,1034,4136,6,20,1788322.7053140108,488172,239969,1,2,2,4,4,4,7,5,7,5,1,6,1,1,7,6,1,1,1,4,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,0,4,0,1,0,3,0,1,1,0,2,2,1,4,1,40,1,3,2,7,1,4,1,0,6
2930,8,1,2018,949,3796,6,20,974629.8438003226,488172,239969,1,3,2,3,4,4,6,2,6,2,1,6,1,1,7,1,1,1,1,1,6,6,6,1,1,1,1,6,1,6,6,6,6,6,6,1,6,1,1,2,0,1,1,2,0,2,2,0,2,2,1,4,1,44,1,6,2,7,1,4,1,0,6
2930,9,1,2018,888,888,6,20,2168566.827697264,488172,239969,1,2,1,3,1,4,3,5,3,5,1,6,1,1,7,1,1,1,1,1,6,6,6,1,1,6,6,6,1,1,6,6,6,6,6,6,6,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,45,1,6,5,7,1,99,0,1,0
