upm,nvivi,nhoga,year,fex,facpob,area,dptorep,ipcm,linea_pobreza_total,linea_pobreza_extrema,vivi_piezas,vivi_dormitorios,vivi_pared,vivi_piso,vivi_techo,vivi_agua_proveedor,vivi_agua_fuente,vivi_agua_proveedor_beber,vivi_agua_fuente_beber,vivi_celular,vivi_banho_desague,vivi_pieza_cocinar,vivi_combustible,vivi_basura,vivi_vivienda_propiedad,vivi_lote_propiedad,vivi_computadora,vivi_tableta,vivi_internet,vivi_radio,vivi_televisor,vivi_heladera,vivi_cocina_gas,vivi_cocina_elec,vivi_lavarropas,vivi_videoDVD,vivi_termocalefon,vivi_acondicionador_aire,vivi_antena_parabolica,vivi_tv_cable,vivi_horno_microondas,vivi_horno_electrico,vivi_auto_camion,vivi_motocicleta,hh_conyuge_present,hh_tipo_hogar,hh_miembros_5ymenos,hh_miembros_6a14,hh_miembros_15a64,hh_miembros_65ymas,hh_dependents,hh_youth_dependents,hh_old_dependents,hh_females,hh_males,hh_tekopora,hh_totpers,jefe_female,jefe_edad,jefe_idioma,jefe_aniosestudio,jefe_estado_civil,jefe_seguro_medico,jefe_sabe_leer_escribir,jefe_tipo_empleo,jefe_quiere_trabajo,jefe_caja_jubilacion1,lnipcm,totpov,extpov
2509,21,1,2018,699,1398,rural,Resto,2162622.3091976596,488172,239969,1,1,Ladrillo,Lecherada,Zinc,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Pozo_ciego,No,Electricidad,Quema,Propia,Propio,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Nuclear_Incompleto,0,1,1,0,1,1,0,1,1,No,2,Yes,41,Bilingual,15,Soltero,Yes,Yes,Publico,No,Yes,14.58683207535531,nontot_pov,nonext_pov
2509,22,1,2018,584,1752,rural,Resto,1061005.0837138544,488172,239969,3,2,Ladrillo,Lecherada,Zinc,SENASA,Caneria_terreno,SENASA,Caneria_terreno,Yes,Letrina_comun,Yes,Electricidad,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Nuclear_Completo,0,1,2,0,1,1,0,2,1,Yes,3,Yes,33,Guarani,1,Unido,No,Yes,No_trabajo,Yes,No,13.874727209020884,nontot_pov,nonext_pov
2643,27,1,2018,754,2262,rural,Resto,782434.7423352931,488172,239969,3,2,Ladrillo,Baldosa,Teja,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Camara_septica,Yes,Gas,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Extendido,1,1,1,0,2,2,0,2,1,Yes,3,Yes,42,Castellano,10,Soltero,No,Yes,Privado,No,No,13.570165801542151,nontot_pov,nonext_pov
2643,28,1,2018,473,946,rural,Resto,510563.27462492033,488172,239969,2,2,Ladrillo,Lecherada,Fibrocemento,SENASA,Caneria_vivienda,SENASA,Caneria_terreno,Yes,Pozo_ciego,Yes,Electricidad,Hoyo,Cedida,No_propio,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Nuclear_Completo,0,0,2,0,0,0,0,1,1,No,2,Yes,62,Guarani,6,Casado,No,Yes,No_trabajo,No,No,13.143269855282085,nontot_pov,nonext_pov
2643,29,1,2018,681,2043,rural,Resto,650463.1441617766,488172,239969,1,1,Ladrillo,Lecherada,Zinc,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Camara_septica,Yes,Carbon,Vertedero_municipal,Propia,Propio,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Nuclear_Completo,1,0,2,0,1,1,0,1,2,No,3,No,36,Bilingual,12,Unido,No,Yes,Privado,No,No,13.385439917622865,nontot_pov,nonext_pov
2643,30,1,2018,781,3124,rural,Resto,568736.1382909348,488172,239969,4,2,Ladrillo,Baldosa,Teja,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Camara_septica,Yes,Electricidad,Recoleccion_privada,Propia,Propio,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Nuclear_Completo,2,0,2,0,2,2,0,2,2,Yes,4,No,31,Bilingual,12,Unido,No,Yes,Cuenta_propia,No,No,13.25117187671457,nontot_pov,nonext_pov
2643,32,1,2018,603,1206,rural,Resto,2068070.4500978547,488172,239969,2,1,Ladrillo,Baldosa,Zinc,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Pozo_ciego,Yes,Gas,Vertedero_municipal,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Nuclear_Completo,0,0,2,0,0,0,0,1,1,No,2,No,27,Bilingual,12,Unido,No,Yes,Privado,No,No,14.542126580808658,nontot_pov,nonext_pov
2643,35,1,2018,804,4824,rural,Resto,427495.10763209546,488172,239969,2,2,Ladrillo,Baldosa,Zinc,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Pozo_ciego,Yes,Gas,Vertedero_municipal,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Nuclear_Completo,2,2,2,0,4,4,0,3,3,Yes,6,No,37,Castellano,12,Unido,No,Yes,Privado,No,No,12.965698123158019,tot_pov,nonext_pov
2643,36,1,2018,929,3716,rural,Resto,272491.4187866937,488172,239969,1,1,Ladrillo,Tierra,Zinc,SENASA,Caneria_terreno,SENASA,Caneria_terreno,Yes,Letrina_comun_sin_techo,No,Electricidad,Vertedero_municipal,Propia,Propio,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Nuclear_Incompleto,2,1,1,0,3,3,0,2,2,Yes,4,Yes,23,Bilingual,9,Soltero,No,Yes,Cuenta_propia,No,No,12.515362401898562,tot_pov,nonext_pov
2643,37,1,2018,603,1206,rural,Resto,872592.9549902184,488172,239969,2,1,Ladrillo,Baldosa,Zinc,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Pozo_ciego,Yes,Gas,Patio,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Nuclear_Completo,0,0,2,0,0,0,0,1,1,Yes,2,Yes,26,Guarani,12,Unido,No,Yes,No_trabajo,Yes,No,13.679224466054615,nontot_pov,nonext_pov
